-1	qid:1	1:0	2:11.434075	3:13.923245	4:0	5:13.337366	6:7.407669	7:9.361648	8:0	# My Death My Decision logo.png	cs|.my
-1	qid:1002	1:0	2:7.977997	3:5.1125255	4:0	5:10.95857	6:9.127909	7:0	8:0	# Kraków - Church of St. Francis - Stained glass 01.jpg	pl|kraków
1	qid:1002	1:0	2:8.313147	3:11.224129	4:12.38053	5:11.166463	6:9.473903	7:0	8:0	# Kraków - St. Mary tower and Mickiewicz monument.jpg	pl|kraków
1	qid:1002	1:0	2:0	3:9.985346	4:0	5:0	6:6.245934	7:8.034623	8:0	# 20180929 Marsz Świeckości w Krakowie 1327 9507 DxO.jpg	pl|kraków
-1	qid:1002	1:0	2:0	3:0	4:0	5:0	6:10.278403	7:0	8:0	# Stanisław Samostrzelnik, Św Stanisław.jpg	pl|kraków
-1	qid:1003	1:0	2:18.683195	3:0	4:0	5:21.864132	6:18.369429	7:0	8:0	# Sofijini krugovi 001.jpg	cs|Krugovi
-1	qid:1003	1:0	2:17.590555	3:0	4:0	5:20.588722	6:17.31786	7:0	8:0	# Sofijini krugovi 006.jpg	cs|Krugovi
-1	qid:1003	1:0	2:19.802797	3:0	4:0	5:23.111359	6:16.78824	7:0	8:0	# Krugovi - panoramio.jpg	cs|Krugovi
-1	qid:1005	1:0	2:0	3:0	4:0	5:0	6:13.540475	7:0	8:0	# 20190115-kurds-map.png	en|kurd cia
-1	qid:1006	1:0	2:14.360439	3:14.863852	4:0	5:0	6:14.143329	7:0	8:0	# 2017 Race of Champions - David Coulthard vs. Kurt Busch (3).jpg	cs|Kurt_David
-1	qid:1006	1:0	2:14.499426	3:14.787752	4:0	5:0	6:14.107232	7:0	8:0	# 2017 Race of Champions - David Coulthard vs. Kurt Busch (2).jpg	cs|Kurt_David
-1	qid:1006	1:0	2:14.499426	3:14.787752	4:0	5:0	6:14.107232	7:0	8:0	# 2017 Race of Champions - David Coulthard vs. Kurt Busch (1).jpg	cs|Kurt_David
1	qid:1007	1:0	2:36.121567	3:38.224323	4:0	5:35.730186	6:36.146385	7:0	8:0	# Kwai Yung Court.JPG	en|Kwai yung court
-1	qid:1008	1:0	2:14.376851	3:0	4:0	5:22.72242	6:23.842855	7:0	8:0	# Recherches sur la nature, et les causes de la richesse des nations Fleuron T095374-12.png	fr|La Rue des nations
1	qid:1008	1:0	2:23.594122	3:17.88934	4:22.391396	5:39.156216	6:25.002502	7:0	8:0	# La rue des nations. Façade de la section belge.jpg	fr|La Rue des nations
1	qid:1008	1:0	2:24.223677	3:14.08457	4:0	5:38.206074	6:28.279043	7:0	8:0	# La Rue des nations, Exposition Universelle 1900.jpg	fr|La Rue des nations
-1	qid:1008	1:0	2:0	3:11.3587265	4:0	5:0	6:22.2793	7:0	8:0	# Vg n13x18 12173.jpg	fr|La Rue des nations
1	qid:1009	1:0	2:0	3:23.722486	4:0	5:0	6:19.290321	7:0	8:0	# LaGuicheMairie.JPG	vi|La_Guiche
1	qid:1009	1:0	2:0	3:19.87061	4:0	5:0	6:19.4937	7:0	8:0	# LaGuicheChurch.JPG	vi|La_Guiche
1	qid:1009	1:0	2:15.10401	3:21.311007	4:0	5:0	6:22.116993	7:0	8:0	# Château de Chaumont-la-Guiche by Victor Petit - Antonio Raimo Galleries.jpg	vi|La_Guiche
-1	qid:1009	1:0	2:19.508804	3:17.793806	4:0	5:0	6:24.80018	7:0	8:0	# Jean-François de La Guiche.jpg	vi|La_Guiche
-1	qid:101	1:0	2:0	3:7.237133	4:0	5:0	6:14.381024	7:0	8:0	# NewBasinCanalAirView1948.jpg	en|Air_basin
-1	qid:101	1:0	2:8.298331	3:6.8954396	4:0	5:0	6:9.22506	7:0	8:0	# A fauna of the Moray basin (1895) (14779527814).jpg	en|Air_basin
1	qid:1010	1:0	2:0	3:31.182938	4:0	5:0	6:0	7:0	8:0	# Map commune FR insee code 35202.png	vi|La_Noë-Blanche
-1	qid:1010	1:0	2:0	3:0	4:0	5:0	6:9.767213	7:0	8:0	# Cham - Charivari - V4d379-b.png	vi|La_Noë-Blanche
1	qid:1010	1:0	2:0	3:22.432165	4:0	5:0	6:28.528173	7:0	8:14.384959	# Jpg181009.JPG	vi|La_Noë-Blanche
1	qid:1011	1:10.128628	2:0	3:0	4:0	5:0	6:0	7:12.384297	8:0	# Centraal Laboratorium.png	en|laboratory
0	qid:1011	1:0	2:0	3:9.487595	4:0	5:0	6:0	7:0	8:12.121857	# Higgins Laboratories, Worcester Polytechnic Institute East Facade.jpg	en|laboratory
0	qid:1011	1:0	2:0	3:0	4:0	5:0	6:13.16566	7:0	8:0	# Catalogue (1911) (14769060712).jpg	en|laboratory
0	qid:1011	1:8.603562	2:11.37386	3:0	4:12.02679	5:14.931834	6:10.66826	7:13.234731	8:0	# Kerckhoff Laboratory 1953.png	en|laboratory
0	qid:1011	1:0	2:11.982276	3:7.378377	4:12.556555	5:0	6:9.595885	7:0	8:0	# Draper Laboratory.png	en|laboratory
0	qid:1011	1:0	2:0	3:7.591356	4:0	5:0	6:7.909825	7:11.599504	8:0	# INLtimeline3.jpg	en|laboratory
1	qid:1011	1:0	2:11.979313	3:9.003632	4:0	5:13.6378765	6:8.356271	7:0	8:0	# Laboratory-313865.jpg	en|laboratory
1	qid:1011	1:0	2:11.247713	3:8.145076	4:11.172225	5:15.238783	6:9.6130085	7:0	8:0	# Laboratory at NIH.jpg	en|laboratory
-1	qid:1011	1:5.387278	2:0	3:0	4:0	5:0	6:9.751672	7:10.963578	8:0	# 1923 Fox Folks Lab History 10.jpg	en|laboratory
1	qid:1011	1:0	2:7.7092047	3:6.721342	4:0	5:9.609851	6:9.656054	7:0	8:12.434065	# Barbara McClintock (1902-1992) shown in her laboratory in 1947.jpg	en|laboratory
1	qid:1012	1:0	2:31.996265	3:35.984406	4:0	5:19.476643	6:45.859932	7:0	8:0	# Mairie de Lacapelle-Viescamp.jpg	ceb|Lacapelle-Viescamp
1	qid:1012	1:0	2:14.622785	3:33.822075	4:0	5:0	6:20.614798	7:0	8:0	# MADOUX B69 - L'Auvergne - Chateau de Viescamp.JPG	ceb|Lacapelle-Viescamp
1	qid:1012	1:0	2:26.895916	3:37.60359	4:0	5:40.191647	6:46.845375	7:0	8:0	# Vue du village de Lacapelle-Viescamp (Cantal, Auvergne).jpg	ceb|Lacapelle-Viescamp
-1	qid:1013	1:0	2:10.518266	3:16.2244	4:0	5:0	6:13.216315	7:0	8:0	# Ladislav Treskoň - Afternoon - O 1399 - Slovak National Gallery.jpg	cs|Ladislav_Slovák
-1	qid:1013	1:0	2:13.74626	3:11.473927	4:13.093709	5:0	6:13.386807	7:0	8:0	# Ladislav Gaspar (Slovakia).jpg	cs|Ladislav_Slovák
-1	qid:1013	1:0	2:10.414754	3:16.16426	4:0	5:0	6:13.139474	7:0	8:0	# Ladislav Treskoň - Captive - O 5272 - Slovak National Gallery.jpg	cs|Ladislav_Slovák
0	qid:1014	1:0	2:0	3:24.474087	4:0	5:0	6:17.51086	7:0	8:0	# Cheek to Cheek Logo.png	en|lady gaga
1	qid:1014	1:0	2:0	3:0	4:23.175976	5:25.432613	6:26.72452	7:20.287514	8:0	# The Monster Ball - Poker Face revamped2-tweak.jpg	en|lady gaga
1	qid:1014	1:0	2:15.5006485	3:19.83307	4:0	5:24.922134	6:31.300797	7:24.01278	8:0	# Lady Gaga as Jo Calderone at 2011 MTV Video Music Awards.jpg	en|lady gaga
1	qid:1014	1:0	2:20.793087	3:0	4:0	5:28.672092	6:31.10241	7:16.494518	8:0	# Lady Gaga performing Monster2 cropped.jpg	en|lady gaga
1	qid:1014	1:0	2:17.78327	3:23.038443	4:0	5:26.177856	6:29.292187	7:0	8:0	# Lady Gaga JWT Birmingham, 2018-01-31 (cropped).jpg	en|lady gaga
1	qid:1014	1:0	2:0	3:17.615606	4:23.072365	5:31.974667	6:19.846687	7:0	8:14.384428	# Gagaspeechdontask.jpg	en|lady gaga
1	qid:1014	1:0	2:17.67694	3:25.13833	4:0	5:26.513035	6:27.704206	7:0	8:0	# Tony Bennett and Lady Gaga at Brussels crop.jpg	en|lady gaga
-1	qid:1016	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:13.227083	# Mohammed2.jpg	cs|LAN_messenger
-1	qid:1016	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:13.870952	# Mohammed kaaba 1315 wide.jpg	cs|LAN_messenger
-1	qid:1016	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:13.281363	# Al-Masjid AL-Nabawi Door.jpg	cs|LAN_messenger
-1	qid:1017	1:0	2:10.15839	3:9.69636	4:0	5:12.875408	6:12.667724	7:0	8:0	# ISS-45 Aurora and Stars From the Space Station's JEM Window.jpg	en|land from space
-1	qid:1017	1:0	2:0	3:0	4:0	5:0	6:6.7657	7:0	8:0	# Viking spacecraft.jpg	en|land from space
-1	qid:1017	1:0	2:9.393459	3:8.702237	4:0	5:11.719932	6:6.477733	7:0	8:0	# Deep Space 2 inspection.jpg	en|land from space
-1	qid:1017	1:0	2:7.976804	3:1.4598405	4:0	5:9.932237	6:14.580575	7:0	8:0	# VP-47 LAND WEB (4832436994).jpg	en|land from space
1	qid:1017	1:0	2:0	3:0	4:0	5:0	6:13.0532055	7:0	8:0	# 2011 Winter in Alaska.jpg	en|land from space
0	qid:1017	1:0	2:7.5436134	3:0	4:7.987686	5:10.964042	6:12.170419	7:0	8:0	# LAND 01 2016-07-06 0815Z.jpg	en|land from space
0	qid:1017	1:0	2:7.953229	3:7.6318913	4:0	5:9.906091	6:11.944779	7:8.268695	8:0	# Land ocean ice cloud 1024.jpg	en|land from space
0	qid:1017	1:0	2:0	3:1.388501	4:0	5:0	6:6.7736616	7:0	8:0	# PIA23043-Mars-InSightLander-Shield-FromSpace-20190204.jpg	en|land from space
1	qid:1017	1:0	2:0	3:6.805789	4:0	5:0	6:13.644338	7:15.028774	8:0	# Landbetweenlakes oli 2016281.jpg	en|land from space
-1	qid:1017	1:2.7398927	2:0	3:0	4:0	5:0	6:1.1912813	7:3.0682454	8:0	# Zhuque-1.png	en|land from space
1	qid:1018	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:9.386595	# Combine - panoramio.jpg	en|landscape
1	qid:1018	1:0	2:8.749228	3:0	4:9.622388	5:11.8717575	6:5.794981	7:0	8:0	# Uminoura Station landscape 1.JPG	en|landscape
1	qid:1018	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:9.702453	# Southshore Spit Reserve, Christchurch, New Zealand.jpg	en|landscape
0	qid:1018	1:10.089421	2:0	3:0	4:0	5:0	6:0	7:7.52261	8:0	# Estação de trem em Santo Antônio do Pinhal.jpg	en|landscape
-1	qid:1018	1:0	2:8.33297	3:9.810944	4:0	5:10.763515	6:8.868801	7:0	8:0	# Gostynin-Włocławek Landscape Park logo.jpg	en|landscape
1	qid:1018	1:0	2:8.19876	3:4.807314	4:0	5:10.566485	6:5.285133	7:0	8:8.462642	# Landscape of Rahier with cows.jpg	en|landscape
1	qid:1018	1:0	2:7.0850053	3:3.5324817	4:0	5:9.814588	6:6.694059	7:0	8:0	# Landscape during Laugavegur hiking trail 2-CA reduced.jpg	en|landscape
-1	qid:1018	1:0	2:8.202966	3:0	4:9.823273	5:12.174938	6:5.490419	7:0	8:0	# Imbi Ebrus, Landscape with houses.jpg	en|landscape
1	qid:1018	1:0	2:9.310046	3:0	4:0	5:10.403109	6:7.734385	7:0	8:0	# Burren Landscape 3.jpg	en|landscape
1	qid:1018	1:0	2:8.751167	3:4.369755	4:0	5:11.028843	6:9.157131	7:5.35433	8:0	# Azerbajiani landscape - Another version.jpg	en|landscape
-1	qid:1019	1:0	2:0	3:19.163418	4:0	5:0	6:0	7:0	8:0	# Chùa Quan Âm , Lảo Tử, quận 5, tphcmvn - panoramio.jpg	vi|Lão_Quân_Quán
-1	qid:1019	1:0	2:0	3:18.20745	4:0	5:0	6:0	7:0	8:0	# Chùa Quan Âm, Lảo tử, Saigon quận 5 - panoramio.jpg	vi|Lão_Quân_Quán
-1	qid:1019	1:8.47927	2:28.278713	3:38.37501	4:21.451906	5:0	6:36.17733	7:24.675423	8:13.876799	# Điện Linh Quan, núi Lão Quân.jpg	vi|Lão_Quân_Quán
-1	qid:1019	1:0	2:0	3:20.510248	4:0	5:0	6:0	7:0	8:0	# Sabaidee - Spencer "Quan Jai Fan Pheng".jpg	vi|Lão_Quân_Quán
1	qid:102	1:0	2:13.141159	3:0	4:0	5:0	6:12.37118	7:0	8:0	# Tingatinga airplane.jpg	en|airplane
1	qid:102	1:10.864045	2:9.962504	3:0	4:0	5:13.075795	6:7.8468575	7:9.103783	8:0	# Airplane spotters Turku 2019-06-16 5.jpg	en|airplane
1	qid:102	1:0	2:0	3:0	4:11.827306	5:11.66789	6:0	7:0	8:0	# Polish Air Force (4084) F-16D Block 52.jpg	en|airplane
1	qid:102	1:0	2:13.304749	3:0	4:0	5:15.599369	6:9.724977	7:0	8:0	# Airplane shadow.JPG	en|airplane
1	qid:102	1:0	2:0	3:0	4:0	5:0	6:0	7:12.584397	8:0	# PZL-Mielec M-18B Dromader SP-ZWS, Piotrków Trybunalski 2019.09.21.jpg	en|airplane
1	qid:102	1:0	2:0	3:0	4:12.817251	5:0	6:0	7:0	8:0	# Embraer 190 (Air Canada) 091.jpg	en|airplane
0	qid:102	1:0	2:0	3:0	4:0	5:0	6:12.871704	7:0	8:0	# MauriceHubertStansAirplane.jpg	en|airplane
1	qid:1020	1:7.315536	2:0	3:10.629125	4:0	5:0	6:16.173878	7:12.139317	8:0	# Wireless network.jpg	en|laptop
0	qid:1020	1:7.6496224	2:0	3:0	4:0	5:0	6:10.60445	7:15.17316	8:0	# Corinne-kutz-tMI2 -r5Nfo-unsplash.jpg	en|laptop
1	qid:1020	1:9.366678	2:0	3:0	4:0	5:0	6:11.871206	7:10.1047735	8:0	# Hardware donation program - Walaa.jpg	en|laptop
1	qid:1020	1:0	2:0	3:0	4:0	5:0	6:16.588001	7:0	8:0	# Laptop09052.jpg	en|laptop
-1	qid:1020	1:3.6258001	2:15.006041	3:0	4:0	5:17.94041	6:11.829652	7:7.539641	8:0	# Laptop Heatpipe.jpg	en|laptop
0	qid:1020	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.878578	# Study pods at SFPL Main Branch.jpg	en|laptop
1	qid:1020	1:0	2:0	3:14.50542	4:14.155049	5:0	6:0	7:0	8:0	# Acer Aspire 8920 20120116.jpg	en|laptop
-1	qid:1020	1:0	2:11.844715	3:13.326282	4:0	5:15.610262	6:15.798575	7:0	8:0	# Flying Laptop Control Center Stuttgart 8.JPG	en|laptop
-1	qid:1020	1:0	2:12.987377	3:0	4:0	5:16.533659	6:0	7:0	8:0	# Laptop-hard-drive-exposed.jpg	en|laptop
0	qid:1020	1:0	2:0	3:13.155603	4:0	5:0	6:0	7:0	8:0	# Tony Anderson in Stuttgart.jpg	en|laptop
1	qid:1021	1:0	2:27.570934	3:18.952682	4:0	5:35.932037	6:28.344818	7:0	8:0	# Lasse Braun 1976.jpg	en|lasse braun
-1	qid:1022	1:0	2:18.053705	3:0	4:0	5:26.680614	6:23.059088	7:0	8:0	# Cmglee Wikimania2016 Esino Lario Last Supper photosphere.jpg	en|last supper
-1	qid:1022	1:0	2:0	3:16.586218	4:19.772621	5:24.394703	6:15.439301	7:0	8:0	# Barry Southgate as Jesus.jpg	en|last supper
1	qid:1022	1:0	2:14.71805	3:21.286766	4:0	5:24.396751	6:16.11496	7:0	8:13.295189	# Detail of the Da Vinci's The Last Supper by Giacomo Raffaelli, Vienna.jpg	en|last supper
1	qid:1022	1:0	2:22.785215	3:0	4:0	5:29.596733	6:18.709377	7:0	8:0	# Last Supper Vank.jpg	en|last supper
1	qid:1022	1:0	2:18.974277	3:13.231722	4:0	5:26.720259	6:17.687347	7:21.853764	8:0	# Leonarda da vinci, last supper 02.jpg	en|last supper
1	qid:1022	1:0	2:20.899174	3:0	4:0	5:28.290735	6:10.855922	7:0	8:0	# Last Supper with Judas.JPG	en|last supper
1	qid:1022	1:0	2:13.916306	3:0	4:0	5:24.051975	6:23.834877	7:0	8:0	# "The Last Supper" within St John the Evangelist, Bury - geograph.org.uk - 1731019.jpg	en|last supper
1	qid:1022	1:0	2:0	3:21.108437	4:0	5:0	6:20.10345	7:0	8:13.809424	# Ghirlandaio, ultima cena di san marco.jpg	en|last supper
1	qid:1022	1:0	2:13.304944	3:14.195869	4:0	5:22.630306	6:21.283312	7:0	8:0	# Last Supper - 1787 CE - Johann Zoffany - St Johns Church - Kolkata 2015-05-09 6650.JPG	en|last supper
1	qid:1022	1:0	2:0	3:25.546694	4:0	5:0	6:0	7:0	8:0	# Emmenhausen Pfarrkirche Chorfresko.JPG	en|last supper
1	qid:1023	1:15.068919	2:0	3:0	4:0	5:0	6:0	7:12.778253	8:13.81487	# 00 0970 Freight bicycle.jpg	de|Lastenfahrrad
1	qid:1023	1:0	2:17.013739	3:0	4:0	5:21.11959	6:22.16324	7:0	8:0	# UPS Lastenfahrrad in Hamburg.jpg	de|Lastenfahrrad
-1	qid:1024	1:0	2:0	3:0	4:8.631418	5:0	6:0.7276313	7:0	8:0	# Rosenkranz-Basilika, Berlin-Steglitz, 1706281200, ako.jpg	en|law
0	qid:1024	1:0	2:0	3:11.225871	4:0	5:0	6:0	7:0	8:0	# LubbockCountySheriffsOffice.jpg	en|law
0	qid:1024	1:0	2:8.48383	3:0	4:0	5:11.1206	6:2.2629437	7:0	8:0	# Isabella Lövin signing climate law referral.jpg	en|law
-1	qid:1024	1:0	2:10.569429	3:9.226934	4:0	5:12.350095	6:1.7161007	7:0	8:0	# Law college.jpg	en|law
-1	qid:1024	1:0	2:0	3:0	4:0	5:0	6:2.739106	7:0	8:0	# Cpor SP.png	en|law
-1	qid:1024	1:0	2:10.651652	3:0	4:0	5:0	6:1.7084322	7:0	8:0	# Pareto Law.png	en|law
-1	qid:1024	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:13.472952	# Bergeron Clifford.png	en|law
-1	qid:1024	1:0	2:0	3:0	4:0	5:0	6:1.4100981	7:12.46439	8:0	# 2006-RH120-orbit.jpg	en|law
0	qid:1024	1:0	2:9.094394	3:8.752798	4:0	5:11.878372	6:2.659375	7:0	8:0	# Law enforcement explorer traces names at the National Law Enforcement Officers Memorial 4.jpg	en|law
1	qid:1024	1:0	2:10.597892	3:0	4:0	5:0	6:2.507883	7:0	8:0	# Penn law.png	en|law
0	qid:1025	1:0	2:44.801575	3:33.593643	4:0	5:67.64865	6:37.545937	7:0	8:0	# Lawarde-Mauger-L'Hortoy (Somme) France (4).JPG	vi|Lawarde-Mauger-l'Hortoy
1	qid:1025	1:0	2:0	3:59.417267	4:0	5:0	6:67.1275	7:0	8:0	# Map commune FR insee code 80469.png	vi|Lawarde-Mauger-l'Hortoy
1	qid:1025	1:0	2:45.596687	3:34.810234	4:0	5:69.17448	6:33.5847	7:0	8:0	# Lawarde-Mauger-L'Hortoy (Somme) France (2).JPG	vi|Lawarde-Mauger-l'Hortoy
1	qid:1026	1:0	2:14.016365	3:12.840562	4:0	5:8.017474	6:27.19702	7:0	8:0	# Clasificación de le fort.png	en|le fort fractures
1	qid:1026	1:0	2:0	3:10.6058	4:0	5:0	6:8.373673	7:0	8:0	# LeFortA.png	en|le fort fractures
1	qid:1026	1:0	2:0	3:10.826335	4:0	5:0	6:8.399842	7:0	8:0	# LeFort1f.png	en|le fort fractures
1	qid:1027	1:0	2:30.855728	3:16.882967	4:0	5:41.916397	6:29.7913	7:0	8:0	# Le Pass, Frameries J3.jpg	en|Le pass frameries
-1	qid:1028	1:0	2:0	3:0	4:0	5:0	6:11.622238	7:0	8:0	# Nội Thất Bình Gia.jpg	vi|Lê_Long_Tung
-1	qid:1028	1:0	2:0	3:4.1339507	4:0	5:0	6:0	7:0	8:0	# 24 Hours of Le Mans 2018 drivers (28896068288).jpg	vi|Lê_Long_Tung
1	qid:1029	1:0	2:19.389107	3:16.85859	4:0	5:0	6:19.331942	7:0	8:14.325696	# Le Quiou (22) Église Notre-Dame 09.JPG	vi|Le_Quiou
1	qid:1029	1:0	2:19.951742	3:18.658468	4:0	5:0	6:19.689312	7:0	8:13.825996	# Le Quiou (22) Église Notre-Dame 03.JPG	vi|Le_Quiou
1	qid:1029	1:0	2:20.008055	3:17.156853	4:0	5:0	6:20.261023	7:0	8:13.884576	# Le Quiou (22) Église Notre-Dame 05.JPG	vi|Le_Quiou
0	qid:1029	1:0	2:20.4414	3:17.529688	4:0	5:0	6:20.972258	7:0	8:14.384959	# Le Quiou (22) Église Notre-Dame 06.JPG	vi|Le_Quiou
1	qid:1029	1:0	2:21.731884	3:17.696941	4:0	5:0	6:21.222431	7:0	8:0	# Le Quiou (22) Mairie 01.JPG	vi|Le_Quiou
1	qid:103	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.161628	# Leuchars Hangar - geograph.org.uk - 1778652.jpg	en|airstrip
-1	qid:103	1:0	2:0	3:0	4:0	5:0	6:12.296269	7:0	8:0	# Misumena vatia on Achillea millefolium qtl2.jpg	en|airstrip
-1	qid:103	1:0	2:12.544638	3:0	4:0	5:0	6:16.245064	7:0	8:0	# A dash on the colville airstrip.jpg	en|airstrip
-1	qid:103	1:0	2:0	3:17.286114	4:0	5:0	6:0	7:0	8:0	# 000176 GOPR. Sanok (2012).jpg	en|airstrip
1	qid:103	1:0	2:14.057923	3:0	4:11.801707	5:19.35679	6:17.132431	7:0	8:0	# Lord Howe Airstrip (32715565992).jpg	en|airstrip
0	qid:103	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.735483	# Aeródromo de Casas de Juan Gil, 01.jpg	en|airstrip
1	qid:103	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:11.356391	# North Hill gliding field - geograph.org.uk - 10615.jpg	en|airstrip
1	qid:103	1:0	2:13.8317995	3:15.467369	4:0	5:16.94999	6:15.079358	7:0	8:0	# Fungu Island airstrip (2720060392).jpg	en|airstrip
1	qid:103	1:0	2:11.745694	3:0	4:12.819832	5:18.07115	6:16.546204	7:0	8:0	# Abandoned airstrip SE Ingenika Airport, BC (120824637).jpg	en|airstrip
0	qid:103	1:0	2:14.826174	3:0	4:0	5:17.454525	6:15.763289	7:0	8:0	# Amboseli Airstrip 04.jpg	en|airstrip
-1	qid:1030	1:0	2:0	3:20.553688	4:0	5:0	6:12.363046	7:0	8:0	# LeTronTan1954.jpg	vi|Lê_Tân
-1	qid:1030	1:0	2:0	3:5.012446	4:0	5:0	6:0	7:0	8:0	# Tian Tan Buddha by Beria.jpg	vi|Lê_Tân
-1	qid:1030	1:0	2:0	3:18.457108	4:0	5:0	6:12.514936	7:0	8:0	# Le Trong Tan.jpg	vi|Lê_Tân
-1	qid:1030	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:0	# St Pancras July 2015-1.jpg	vi|Lê_Tân
-1	qid:1030	1:0	2:0	3:0	4:0	5:0	6:0	7:0	8:0	# Firefighting exercise.jpg	vi|Lê_Tân
-1	qid:1031	1:0	2:0	3:5.9128027	4:0	5:0	6:5.3239055	7:0	8:0	# Hoi An the ky 17 (2).jpg	vi|Lê_Xuân_Lựu
-1	qid:1032	1:0	2:18.691381	3:14.977462	4:0	5:0	6:15.681997	7:0	8:0	# Frank Leboeuf.jpeg	ceb|Leboeuf
-1	qid:1032	1:0	2:15.763233	3:17.312933	4:0	5:0	6:18.988924	7:0	8:0	# Charles-François Lebœuf- Nanteuil.jpg	ceb|Leboeuf
-1	qid:1032	1:0	2:14.055527	3:17.018663	4:0	5:18.560715	6:21.246155	7:0	8:0	# Marcel Leboeuf et Antoine Durand.jpg	ceb|Leboeuf
1	qid:1033	1:0	2:18.607563	3:6.2217956	4:0	5:29.564766	6:25.168842	7:0	8:0	# Lebron James 2 Shankbone More Than a Game.jpg	en|lebron james
1	qid:1033	1:0	2:0	3:5.422008	4:0	5:0	6:0	7:22.575914	8:0	# Darius Songaila NBA 9.jpg	en|lebron james
